edrpou,month,budget_limit,packet
34614974,12,46145150.7,2
30281521,12,14769634.22,2
20990412,12,31409303.74,2
32058130,12,25967857.6,2
26536532,12,15036598.91,2
27283540,12,14157509.81,2
18504941,12,19089844.33,2
38948041,12,51133079.64,2
26806548,12,19174654.41,2
23156147,12,16471566.32,2
32558834,12,22176049.43,2
35158300,12,18473514.07,2
36009176,12,56934591.49,2
35658632,12,32104493.1,2
47433937,12,16518037.11,2
41201553,4,255386.69,3
09991042,4,257125.03,3
03991052,4,468411.11,3
07991750,4,375476.53,3
07991146,4,583606.67,3
09991646,4,3148185.12,3
45842897,4,1609026.83,3
08810250,4,833285.68,3
08991051,4,311010.78,3
04991528,4,287007.78,3
00991888,4,646508.28,3
29991426,4,3406629.03,3
00945867,4,997745.27,3
25865503,4,6098555.63,3
05002855,4,6185678.84,3
05845444,4,436357.9,3
09891427,4,6042835.89,3
01145459,4,1554731.63,3
02891025,4,1248459.19,3
00891722,4,153824.85,3
08891317,4,6362108.57,3
06945471,4,4121982.9,3
04891924,4,847791.47,3
35120521,4,2616069.86,3
06991737,4,2187129.71,3
36454393,4,1350718.28,3
09002561,4,23619.53,3
28943942,4,662054.13,3
14324732,4,5627009.03,3
15963679,4,5994687.55,3
05002564,4,580376.07,3
00945448,4,1445532.29,3
05772241,4,1337223.43,3
05991940,4,12472767.92,3
29865306,4,6964627.93,3
04891525,4,1019808.14,3
03002463,4,276489.7,3
25865902,4,2979378.52,3
22941506,4,199929.03,3
01991339,4,2187563.85,3
02991438,4,1477872.75,3
08991472,4,983787.17,3
07002449,4,1293485.49,3
09991538,4,814649.42,3
24916790,4,1041489.46,3
01845641,4,3456430.9,3
25365975,4,714490.43,3
03891254,4,12173916.87,3
00991337,4,1946689.64,3
27091924,4,1119155.73,3
03002549,4,1010302.11,3
22055102,4,547335.56,3
09133597,4,1358682.18,3
22326083,4,2424005.77,3
06454335,4,3514018.24,3
01991738,4,896597.02,3
00821008,4,293414.42,3
05891225,4,1051960.67,3
03991484,4,760427.16,3
01891925,4,690570.23,3
06991188,4,93062.31,3
06945967,4,1709452.92,3
08145559,4,5229994.1,3
06891227,4,362814.53,3
04534906,4,1879908.15,3
06991014,4,8875388.5,3
03002754,4,393073.27,3
00891753,4,5124703.36,3
05991552,4,261852.98,3
02991535,4,294537.55,3
07991351,4,254733.98,3
00891550,4,4688678.14,3
24056881,4,2474784.39,3
09991214,4,121943.42,3
00991434,4,342351.38,3
07891725,4,450712.34,3
00991734,4,307681.62,3
06991997,4,1961416.42,3
05810449,4,6569431.07,3
06991834,4,307999.05,3
05002013,4,2794371.49,3
01102310,4,7873263.33,3
08945338,4,2183914.37,3
06991435,4,1287629.25,3
01845932,4,855627.74,3
01891898,4,147455.81,3
04991151,4,189160.29,3
07991534,4,800685.89,3
00991683,4,193263.17,3
04891331,4,758470.84,3
34007321,4,287504.25,3
06002652,4,534046.52,3
04891439,4,904538.3,3
38237744,4,452775.97,3
01891444,4,3558800.65,3
08891297,4,585769.3,3
01002589,4,3041570.11,3
01991491,4,77856.35,3
03891146,4,2340572.85,3
06891346,4,3025448.45,3
09945023,4,81570.46,3
06991263,4,592050.46,3
02002375,4,1880501.41,3
03002798,4,2573921.06,3
01945673,4,3262482.71,3
00991198,4,1359756.98,3
01002404,4,232990.29,3
02002774,4,1214895.94,3
06002167,4,7232141.09,3
00002702,4,383625.15,3
27316077,4,1213776.81,3
04891115,4,1986299.98,3
38267947,4,1501462.0,3
01845544,4,785177.31,3
04945586,4,2442119.99,3
09991798,4,379808.93,3
08002202,4,614207.05,3
09002949,4,46241.84,3
04002313,4,266818.66,3
01002113,4,5806304.25,3
08991897,4,502370.63,3
02991498,4,1060979.19,3
06991507,4,1335045.29,3
07891046,4,286243.41,3
04891246,4,2793549.54,3
02891598,4,451618.63,3
04991098,4,1062221.12,3
02891726,4,628842.81,3
07002557,4,1688762.72,3
00002100,4,7608043.44,3
38109874,4,1299534.59,3
31945024,4,737471.08,3
09772141,4,2690346.97,3
07991099,4,809330.92,3
08002601,4,1149800.99,3
05991336,4,640582.15,3
06991111,4,865296.68,3
00891184,4,198180.94,3
00991108,4,750415.11,3
09991399,4,88166.23,3
09603070,4,2091796.74,3
00002153,4,404295.99,3
07002136,4,402760.21,3
03991894,4,103654.96,3
04945930,4,695056.8,3
07991794,4,1193467.48,3
03891179,4,383222.34,3
05002001,4,1083427.86,3
09991311,4,323831.33,3
03002161,4,5401381.67,3
02845114,4,757358.42,3
19083820,4,1124835.3,3
07821205,4,4418051.0,3
04891558,4,1748645.38,3
02923062,4,646491.61,3
05891926,4,914878.09,3
01991317,4,420565.32,3
00002823,4,597148.78,3
08002764,4,280941.69,3
06945147,4,853418.0,3
08991084,4,609306.52,3
02002007,4,652560.81,3
04891462,4,541308.13,3
06891487,4,455149.56,3
05002672,4,2206334.19,3
24910349,4,72958.52,3
02991191,4,652378.13,3
06002965,4,666888.35,3
03891825,4,296516.42,3
05145412,4,2299962.02,3
11424621,4,1679038.96,3
05002110,4,549377.4,3
04845431,4,858890.07,3
04891137,4,743908.18,3
05891527,4,252529.02,3
00803627,4,3270768.07,3
09991884,4,1191999.2,3
00945287,4,1843452.55,3
00891658,4,1305616.04,3
06891174,4,370273.37,3
00002166,4,986939.17,3
07991911,4,2187752.88,3
08845331,4,662435.64,3
02251291,4,1043512.09,3
05002811,4,1533002.79,3
01002653,4,191212.33,3
03002635,4,8365087.53,3
00891248,4,135222.48,3
06891626,4,766533.31,3
07891273,4,531139.5,3
00002735,4,117531.78,3
06891238,4,520108.3,3
04991087,4,948914.27,3
04891245,4,135583.54,3
26463049,4,3107932.46,3
04772843,4,3368262.71,3
04002465,4,1283901.39,3
00002770,4,2427141.83,3
00891429,4,2718582.29,3
08891015,4,438802.21,3
05002660,4,2749976.02,3
01991297,4,1466477.18,3
03002602,4,376778.38,3
04991583,4,432555.45,3
02002805,4,313383.56,3
05991186,4,165198.7,3
08991796,4,199489.89,3
02991385,4,4216970.75,3
09002356,4,3486468.09,3
00991324,4,936276.09,3
00002576,4,199247.24,3
08002407,4,544180.56,3
09991366,4,10522932.47,3
00991606,4,1037003.89,3
17693623,4,67614.84,3
39819431,4,852161.46,3
03891772,4,1275058.26,3
23001183,4,1912627.46,3
32583108,4,960546.36,3
06991986,4,800595.46,3
04991896,4,2381590.44,3
07002363,4,72851.95,3
00002263,4,494706.23,3
00945329,4,1270868.01,3
27801041,4,591648.52,3
48300421,4,2174525.17,3
28146886,4,224075.32,3
28646447,4,812600.82,3
03772251,4,378122.96,3
00991996,4,1231006.35,3
06845133,4,2084827.52,3
07002912,4,2086932.02,3
01002254,4,281571.27,3
39185247,4,1081682.74,3
04002712,4,1552635.52,3
04002066,4,1370131.76,3
01002836,4,1916249.62,3
02991083,4,342344.02,3
07002870,4,160718.34,3
01111815,4,1272149.99,3
07991415,4,255462.52,3
08002861,4,172662.78,3
01002265,4,209714.16,3
06002264,4,198366.07,3
09945887,4,1718678.24,3
09991236,4,193866.73,3
07021743,4,258823.2,3
06002954,4,588768.38,3
08991267,4,2206943.29,3
05991541,4,1241719.29,3
05002154,4,232793.31,3
02991136,4,898336.7,3
05454829,4,1016673.9,3
08991386,4,847796.77,3
03991883,4,4472527.19,3
05002304,4,718332.26,3
07891326,4,600323.4,3
03891426,4,319297.34,3
06002253,4,538192.01,3
09991743,4,321141.8,3
03002106,4,347527.46,3
09772443,4,511159.38,3
08891914,4,574091.59,3
08933888,4,360685.11,3
35174820,4,1819225.66,3
07002654,4,1187929.17,3
09845344,4,1431992.61,3
07991384,4,227553.79,3
09903282,4,4932680.07,3
06845241,4,479204.32,3
32336515,4,438038.83,3
08991483,4,278691.73,3
00991284,4,310121.91,3
05991596,4,2188221.51,3
00002953,4,373464.46,3
01703778,4,1327366.66,3
08991882,4,565401.23,3
08845741,4,302780.23,3
08991104,4,1047588.26,3
08991935,4,152737.72,3
14034977,4,236161.81,3
03002139,4,800879.63,3
04891741,4,1372744.77,3
07923136,4,2603774.14,3
07991783,4,202485.15,3
01002675,4,124825.41,3
03002053,4,1800105.74,3
09991106,4,368278.78,3
06891130,4,1151699.88,3
23603764,4,369452.36,3
36560781,4,322955.97,3
00891215,4,178898.25,3
07002535,4,9081791.14,3
05002974,4,179884.77,3
08891242,4,1047822.88,3
06991684,4,39977.49,3
07002438,4,1632187.53,3
34588560,4,420948.67,3
00002737,4,187450.43,3
07002837,4,3065609.46,3
08891824,4,1122904.44,3
08991234,4,866857.33,3
04102801,4,3447015.52,3
05002553,4,566130.78,3
01002071,4,875917.95,3
09891837,4,927885.71,3
09002517,4,152171.25,3
08002903,4,127802.71,3
03002527,4,210917.22,3
01002135,4,1225162.11,3
25692643,4,2176560.03,3
04945628,4,346437.61,3
34337660,4,584366.05,3
26571212,4,2326662.51,3
06891421,4,711437.21,3
02991967,4,4232825.64,3
01002803,4,5808538.83,3
02945538,4,3889502.19,3
04891126,4,647498.53,3
01991681,4,2771841.9,3
38378822,4,340884.94,3
30088420,4,877283.59,3
04891536,4,355289.09,3
03991806,4,2077972.63,3
09991183,4,394075.36,3
07002175,4,654406.22,3
04891622,4,1342751.0,3
07991102,4,2119208.31,3
28605281,4,304356.31,3
09002874,4,321949.42,3
06891282,4,406366.15,3
01991167,4,10808675.49,3
09991582,4,248893.61,3
06991282,4,542355.02,3
03891675,4,505622.26,3
10283614,4,306321.21,3
05002262,4,118003.05,3
05891895,4,152447.38,3
03891027,4,59651.02,3
03002937,4,1748998.39,3
00002726,4,208933.78,3
28332614,4,2987771.28,3
04991506,4,1423332.69,3
08002775,4,185396.35,3
07991481,4,497941.81,3
34355455,4,769833.51,3
09002475,4,409565.94,3
38603553,4,197549.49,3
08002127,4,281665.56,3
36683981,4,794801.05,3
04002302,4,488757.18,3
39341177,4,4961300.83,3
00891625,4,866607.53,3
06002350,4,8257026.64,3
08002839,4,957309.7,3
05002575,4,428487.96,3
04002238,4,192020.23,3
09002054,4,555977.4,3
22670111,4,1211804.48,3
04002962,4,346210.44,3
05991682,4,251946.79,3
05991089,4,438122.65,3
08991688,4,290339.72,3
00891594,4,364286.03,3
05002703,4,121046.97,3
06991208,4,2501895.69,3
00891096,4,147904.53,3
09002744,4,848688.37,3
04002831,4,206870.31,3
31026556,4,878508.72,3
05991476,4,3587622.21,3
00891614,4,250794.18,3
07002826,4,101316.11,3
05991907,4,1280088.6,3
37747685,4,2207616.17,3
07111212,4,5059766.17,3
04935257,4,603471.56,3
01584903,4,613300.99,3
00055966,4,127318.96,3
08002365,4,29567.43,3
09002453,4,604382.68,3
00155894,4,2852387.4,3
04991982,4,258299.51,3
00002929,4,403090.73,3
24670942,4,786376.77,3
06845909,4,1795918.87,3
03002840,4,1434154.81,3
09933890,4,997472.23,3
05991843,4,889996.81,3
07891714,4,1275254.76,3
05002930,4,717875.42,3
08891026,4,304200.37,3
01111211,4,443213.25,3
04891138,4,2063495.86,3
03111312,4,134408.21,3
08002041,4,1061106.94,3
07111719,4,953671.99,3
04002746,4,1921533.13,3
03002075,4,93434.82,3
04002033,4,1142273.02,3
07002103,4,1397576.15,3
01891995,4,441015.7,3
03002064,4,353932.09,3
01991716,4,724758.85,3
09002863,4,421308.68,3
08991342,4,1265227.1,3
09002528,4,542488.06,3
01891530,4,638035.91,3
09891826,4,339896.18,3
31104690,4,630193.07,3
07002405,4,700580.29,3
03891631,4,7926803.32,3
02002353,4,165042.04,3
03002926,4,199068.51,3
06991066,4,311893.42,3
03891589,4,217931.3,3
01002761,4,520968.72,3
09991701,4,340005.5,3
05991735,4,536296.56,3
41630554,4,32710.38,3
03991429,4,251162.99,3
06891831,4,526774.42,3
06002447,4,1478876.95,3
01891929,4,595620.94,3
08891890,4,109620.78,3
02991762,4,794447.08,3
07991972,4,429324.39,3
07991329,4,142874.65,3
02891122,4,1378470.08,3
04002745,4,237852.16,3
02991266,4,1613345.27,3
07002028,4,77767.65,3
06002608,4,108823.96,3
01835755,4,883459.13,3
06891928,4,634352.9,3
03991817,4,565412.77,3
04991841,4,331819.72,3
04002227,4,327483.51,3
09002065,4,138833.44,3
37986379,4,594044.91,3
20884205,4,956302.96,3
09002043,4,674865.0,3
20932182,4,354307.47,3
07002698,4,6020220.73,3
01002362,4,398215.87,3
09002239,4,593663.19,3
08002753,4,475659.11,3
02991341,4,1164819.41,3
06002998,4,1939286.43,3
08111915,4,614109.54,3
08991115,4,360316.73,3
25916715,4,1563180.82,3
02002267,4,509567.07,3
01991619,4,493821.97,3
03891761,4,390198.81,3
03991376,4,459633.61,3
36727114,4,844348.96,3
02991718,4,453695.43,3
08991946,4,636956.36,3
00002543,4,827776.42,3
06002142,4,811403.38,3
05002165,4,81251.05,3
09991818,4,433533.66,3
42740158,4,558416.76,3
13829822,4,1133621.26,3
01991081,4,331527.8,3
00002748,4,444036.09,3
02991396,4,771609.84,3
02891737,4,875820.26,3
00991520,4,1941430.18,3
05002240,4,973905.64,3
00002144,4,746270.43,3
07891229,4,535467.09,3
04445064,4,56408.55,3
09891535,4,407037.98,3
20906389,4,163818.45,3
09991595,4,449407.47,3
08991137,4,651624.41,3
05002002,4,1664675.41,3
04002303,4,52938.22,3
02991751,4,83269.9,3
06935768,4,3885801.15,3
04891797,4,207227.79,3
01891325,4,395644.26,3
03991451,4,404934.72,3
00991694,4,370506.77,3
07891370,4,2295106.25,3
06891465,4,1369101.84,3
09991044,4,552366.08,3
05002800,4,5248329.05,3
04891029,4,280730.12,3
06991715,4,298788.75,3
00891237,4,249036.74,3
00055836,4,176921.45,3
05991887,4,167538.95,3
30709421,4,507625.85,3
06991532,4,1673897.97,3
37920804,4,945215.95,3
09991516,4,332657.92,3
05891128,4,1037210.92,3
04002044,4,493574.5,3
01991674,4,987920.06,3
05002941,4,976998.11,3
02002741,4,283255.1,3
30954322,4,528886.18,3
03891329,4,64295.47,3
04991808,4,980422.5,3
01111423,4,261731.35,3
22560120,4,1001589.94,3
02002148,4,1946145.05,3
00991218,4,1419859.31,3
08991406,4,2671147.29,3
24746691,4,367757.56,3
05991120,4,1180898.14,3
06002242,4,285006.13,3
08891696,4,183389.18,3
03991529,4,530302.18,3
21775217,4,151958.88,3
09002841,4,518979.12,3
05002057,4,401859.94,3
05002758,4,704806.38,3
05991142,4,327001.13,3
00891691,4,794119.11,3
02991590,4,3105850.62,3
05991466,4,1721484.26,3
01991588,4,546443.76,3
04002346,4,51248.8,3
02991729,4,394292.92,3
09991441,4,377467.33,3
09002506,4,824542.45,3
04991517,4,329318.91,3
00991714,4,1727129.33,3
08991666,4,872537.59,3
02111224,4,245501.69,3
08991192,4,883684.97,3
06002037,4,5342909.67,3
06991296,4,1128555.16,3
14793124,4,399219.62,3
04991195,4,524184.65,3
00845930,4,4771735.91,3
20294505,4,389473.85,3
08991893,4,1088706.28,3
04991389,4,125735.89,3
00002640,4,454083.11,3
02991244,4,340439.94,3
09991992,4,473602.47,3
05002542,4,1079404.31,3
25550919,4,1522928.36,3
06991241,4,582959.84,3
05991380,4,652731.28,3
09991928,4,122112.73,3
38216612,4,250365.25,3
00891129,4,462788.78,3
38638174,4,162995.6,3
06945191,4,249843.05,3
00021643,4,521238.17,3
02991094,4,1082203.23,3
06891637,4,600175.74,3
27535366,4,631340.94,3
04933675,4,1440297.97,3
07002147,4,9035246.14,3
06002048,4,1619268.71,3
08991029,4,325802.38,3
01002739,4,573609.11,3
00002843,4,209026.71,3
13183057,4,1893943.22,3
07891079,4,180263.44,3
21670935,4,549057.28,3
05991488,4,503777.61,3
09002248,4,714894.63,3
02002417,4,133792.97,3
09991915,4,260235.98,3
00991531,4,10374063.67,3
06991025,4,1761081.39,3
08991622,4,1496782.56,3
06991521,4,5645243.08,3
02991687,4,370446.05,3
09991593,4,620695.89,3
04945986,4,4676035.75,3
09891330,4,354570.69,3
04002368,4,139879.25,3
05111510,4,116907.1,3
00991187,4,832876.47,3
01002157,4,447915.47,3
04002854,4,904556.03,3
35336187,4,377086.51,3
36999431,4,294218.57,3
09002636,4,1402968.24,3
01002351,4,711045.68,3
01002027,4,606807.5,3
01991092,4,202293.1,3
02002907,4,383489.68,3
33209197,4,2425304.62,3
05991034,4,465013.09,3
07891736,4,277372.23,3
04991993,4,94286.77,3
09002140,4,165094.07,3
07991944,4,2803295.55,3
00002327,4,353548.18,3
08991062,4,317097.56,3
04845011,4,353610.91,3
07935856,4,691067.84,3
01991641,4,553658.55,3
02991233,4,1749564.17,3
23670011,4,268153.91,3
22931589,4,409818.83,3
02002245,4,691700.17,3
04021942,4,856746.79,3
02002358,4,700045.79,3
34753282,4,2659438.11,3
01991544,4,1506903.43,3
02002558,4,501580.04,3
08991547,4,364302.98,3
01991037,4,10735758.94,3
08883714,4,129285.31,3
02991330,4,587016.4,3
03991495,4,95931.44,3
01991328,4,1690666.56,3
09991053,4,208485.22,3
09991128,4,1517950.31,3
26475218,4,247788.76,3
04991486,4,550229.88,3
00991628,4,167299.19,3
04002540,4,231960.54,3
07991421,4,957386.64,3
01002966,4,1886527.41,3
02891942,4,387583.8,3
01891376,4,409218.04,3
08002440,4,347780.97,3
00991370,4,515151.29,3
08991536,4,579496.81,3
03991678,4,728093.04,3
03002009,4,676678.13,3
05772144,4,7412541.55,3
05945630,4,293337.99,3
01945622,4,2390940.43,3
03002203,4,382984.74,3
10824609,4,912841.62,3
02991773,4,285537.01,3
07945786,4,6342607.2,3
05991294,4,312194.37,3
09991064,4,729775.6,3
07772051,4,658466.33,3
06991792,4,367006.41,3
04002853,4,1028480.57,3
05891463,4,878799.56,3
05891829,4,6095834.33,3
03891362,4,1435324.98,3
09002658,4,1071943.81,3
06991252,4,183737.52,3
01891563,4,1005580.16,3
07991287,4,469287.21,3
04891212,4,2141894.54,3
03891060,4,2421009.44,3
21940887,4,619093.5,3
06991144,4,390174.43,3
03991526,4,471472.74,3
29670832,4,837911.48,3
24955965,4,2628389.61,3
03891697,4,1092507.78,3
04891935,4,374822.61,3
09991668,4,1729036.07,3
07002762,4,471838.19,3
08891630,4,375639.71,3
00002856,4,723683.98,3
21131627,4,322993.85,3
00891863,4,1338244.04,3
07991395,4,184124.26,3
09891398,4,427394.44,3
01002340,4,197888.94,3
09991225,4,295521.58,3
07891963,4,7247479.79,3
43380754,4,579777.94,3
05991692,4,148646.88,3
06002339,4,200380.13,3
01991835,4,703766.76,3
04991994,4,209183.99,3
07991093,4,570906.93,3
06991393,4,138067.72,3
08991633,4,198293.52,3
25320520,4,656923.66,3
18829023,4,387903.45,3
03002904,4,1103242.42,3
07002643,4,268956.72,3
41480140,4,269548.13,3
20042332,4,387328.5,3
05891959,4,957622.43,3
26670050,4,137477.85,3
24670143,4,462957.45,3
00991811,4,159887.32,3
09991419,4,198101.61,3
26421608,4,422781.69,3
08991494,4,173363.43,3
03991196,4,710613.59,3
02002439,4,195345.09,3
04002809,4,320923.29,3
07002956,4,632608.6,3
06002458,4,343700.08,3
39893454,4,973019.77,3
03991019,4,315873.53,3
00991293,4,137378.81,3
00991844,4,911149.04,3
04991292,4,569333.95,3
04991129,4,425159.69,3
02991493,4,859208.49,3
00002554,4,303281.26,3
09991829,4,178876.47,3
01991242,4,401590.2,3
02991826,4,1866108.27,3
31188571,4,551997.24,3
06991889,4,3040073.12,3
02991288,4,400939.63,3
06002145,4,46914.71,3
05991519,4,322034.68,3
00002305,4,90702.26,3
01002944,4,361872.28,3
03991116,4,109718.98,3
01845910,4,169193.32,3
03991592,4,337868.58,3
04991065,4,229625.62,3
20036386,4,597473.3,3
01991533,4,836935.47,3
48290691,4,2434070.74,3
04991852,4,271898.65,3
03991088,4,1032802.87,3
32560973,4,468746.17,3
13463380,4,1199558.77,3
03991828,4,298983.4,3
06002112,4,501616.26,3
36649490,4,515055.05,3
26864877,4,769362.83,3
29630964,4,397013.18,3
00991586,4,331760.1,3
08991289,4,223451.83,3
07991016,4,144576.11,3
00991941,4,555925.74,3
08991417,4,168624.08,3
36371336,4,190029.88,3
09954744,4,158449.58,3
47401351,4,798095.9,3
07991686,4,821343.13,3
05055037,4,6167026.42,3
22462380,4,286497.71,3
11804667,4,528322.32,3
04991551,4,440110.53,3
08002731,4,452783.68,3
44511115,4,155770.2,3
49131788,4,1703746.64,3
02002483,4,3357793.51,3
02891036,4,450647.54,3
05991033,4,3295460.56,3
01002005,4,73136.14,3
09002852,4,234706.05,3
48571382,4,333890.75,3
06991091,4,10243625.86,3
43741778,4,610274.49,3
25862991,4,1273917.23,3
48371060,4,221762.61,3
09002938,4,409170.41,3
08991849,4,298759.86,3
41132508,4,156702.13,3
02002450,4,255870.94,3
20670135,4,196896.49,3
40852781,4,372940.66,3
08945486,4,696767.93,3
46342657,4,434984.12,3
47712705,4,688603.13,3
21094772,4,156137.97,3
47852826,4,1276376.99,3
41591159,4,231676.0,3
44372892,4,51156.61,3
35134756,4,1428200.97,3
47952341,4,610368.13,3
35477979,4,2436877.99,3
05991508,4,2413323.43,3
30977835,4,797022.99,3
02991604,4,1198975.26,3
47772192,4,133974.27,3
44872186,4,2798499.81,3
46872391,4,2564277.69,3
07002222,4,1295912.23,3
07002940,4,364888.88,3
41042699,4,294911.4,3
47792244,4,389783.01,3
06991285,4,9708769.32,3
07991728,4,800242.96,3
28752892,4,114602.56,3
03891836,4,872798.68,3
00002241,4,3064523.62,3
43223017,4,1433320.08,3
45362213,4,775679.36,3
43813581,4,1012348.04,3
08991789,4,499269.11,3
07445264,4,711807.58,3
02445664,4,749337.21,3
03445364,4,616389.05,3
08772344,4,23493.69,3
09445464,4,425738.93,3
06002250,4,712623.04,3
04991733,4,281387.74,3
06991823,4,234549.45,3
07991825,4,857045.14,3
40823977,4,86056.25,3
08045516,4,2067493.26,3
04991226,4,797994.54,3
41823286,4,5138870.46,3
01991943,4,1027139.15,3
48433827,4,5182010.71,3
48333049,4,246403.82,3
40433738,4,948671.65,3
40952863,4,1709820.53,3
48253026,4,502849.55,3
